reward_call_index,case_id,max_correct_reward,max_wrong_reward,mean_correct_reward,mean_wrong_reward
11,sc_1990_insc_360,0.39775,0.09060714285714286,0.39775,0.05312244897959184
11,sc_1993_insc_45,0.5635394736842104,0.21353947368421053,0.5158404024767801,0.18477631578947365
11,sc_2007_insc_1117,0.5499999999999999,0.19775,0.4356875,0.09596428571428572
11,sc_2011_insc_407,0.6439393939393939,0.24666666666666665,0.543821158008658,0.1751306818181818
11,sc_2012_insc_136,0.39999999999999997,0.05,0.3985,0.048875
11,sc_2012_insc_31,0.6444166666666665,0.08525,0.4823333333333333,0.07965719696969698
11,sc_2013_insc_173,0.49999999999999994,0.12275,0.4332,0.07350000000000001
11,sc_2015_insc_531,0.47274999999999995,0.14775,0.42274999999999996,0.08514999999999999
11,sc_2021_insc_554,0.6295454545454545,0.2808269230769231,0.5803522727272726,0.15590559440559443
12,sc_1965_insc_113,0.5933333333333334,0.12275,0.5351306818181818,0.10039583333333335
12,sc_1971_insc_287,0.47917857142857145,0.285,0.42956018981018984,0.17758333333333332
12,sc_1971_insc_320,0.575,0.26441666666666663,0.467625,0.20191666666666666
12,sc_1978_insc_159,0.5522954545454545,0.2334642857142857,0.47462368881118877,0.12512839660339659
12,sc_1990_insc_223,0.6000000000000001,0.29,0.5683578947368421,0.17516666666666666
12,sc_1992_insc_325,0.5019166666666666,0.19775000000000004,0.4808412698412698,0.08865
12,sc_1997_insc_61,0.6590909090909092,0.30684090909090905,0.5433059440559441,0.21917447552447547
12,sc_2003_insc_94,0.49999999999999994,0.2,0.4318333333333333,0.07820000000000002
12,sc_2010_insc_517,0.39775,0.14775,0.3965,0.0883125
12,sc_2014_insc_11,0.4808269230769231,0.125,0.4258173076923077,0.0875
12,sc_2022_insc_181,0.5727499999999999,0.27275,0.561375,0.19016666666666668
12,sc_2023_insc_879,0.49774999999999997,0.14775,0.49582692307692305,0.13071703296703296
13,in_abs_train_3124,0.54775,0.19775,0.43637499999999996,0.0858125
13,in_abs_train_5301,0.4666666666666666,0.18941666666666668,0.4338015151515151,0.13133585858585858
13,sc_1966_insc_85,0.6610833333333331,0.16025,0.5212214285714285,0.13425793650793652
13,sc_1967_insc_136,0.47372402597402596,0.07142857142857142,0.4534043456543456,0.06333516483516484
13,sc_1970_insc_242,0.47764705882352937,0.1276470588235294,0.4584313725490196,0.09192941176470588
13,sc_1979_insc_20,0.4666666666666666,0.11441666666666667,0.4325833333333333,0.061083333333333344
13,sc_1988_insc_207,0.5707142857142857,0.21879120879120884,0.5016466658341658,0.14857280219780222
13,sc_1993_insc_371,0.6075402097902097,0.10229545454545455,0.5290265984015984,0.07614772727272728
13,sc_2002_insc_43,0.47274999999999995,0.10775000000000001,0.43206249999999996,0.06275
13,sc_2011_insc_426,0.5499999999999999,0.11441666666666667,0.44849999999999995,0.061083333333333344
13,sc_2013_insc_310,0.5499999999999999,0.19775,0.5136428571428571,0.19775
14,sc_1970_insc_85,0.39775,0.05,0.39775,0.04820000000000001
14,sc_1974_insc_143,0.49774999999999997,0.05,0.44206249999999997,0.048875
14,sc_1976_insc_225,0.39775,0.04775000000000001,0.39775,0.04775000000000001
14,sc_1986_insc_67,0.6022954545454544,0.16775,0.48944886363636353,0.13275
14,sc_1990_insc_225,0.46441666666666664,0.11441666666666667,0.42441666666666666,0.06822222222222223
14,sc_1992_insc_162,0.54775,0.05,0.44775000000000004,0.0491
14,sc_1994_insc_422,0.39999999999999997,0.05,0.3985,0.04910000000000001
14,sc_1997_insc_560,0.39775,0.05,0.39775,0.04831250000000001
14,sc_2013_insc_21,0.6022954545454544,0.25,0.5772954545454545,0.16586634199134198
14,sc_2016_insc_347,0.54775,0.34775,0.48161309523809526,0.24060714285714285
14,sc_2018_insc_513,0.49774999999999997,0.05,0.4310833333333333,0.04910000000000001
15,in_abs_train_3048,0.39775,0.2,0.39775,0.11909999999999998
15,in_abs_train_424,0.5933333333333334,0.25608333333333333,0.5399791666666667,0.1828958333333333
15,sc_1966_insc_53,0.4461538461538461,0.09615384615384615,0.4219519230769231,0.07195192307692308
15,sc_1978_insc_25,0.5429880952380952,0.2763214285714285,0.5429880952380952,0.17247639825160835
15,sc_1997_insc_271,0.47274999999999995,0.2785714285714285,0.4235,0.13443571428571427
15,sc_1997_insc_770,0.5156071428571428,0.14775,0.4842579365079364,0.08320000000000001
